district,sector,month,strata,psu,snumber,hhno,nhh,person_serial_no,birth_year,birth_month,age,Relationship_to_head,Sex,Ethnicity,Religion,Marital_Status,Attendance,Education_Level,Main_Activity,Main_confirm,Employment_Status,Live,Demo_Person_ID,Fake_Name,household_code,exact_location,rare_condition,monthly_income,unique_marker
11,1,1,111,111001,2,1,1,1,1989,3,35,Head of household,Male,Sinhala,Buddhist,Currently Married (Registered),No,Advanced Level,Regional goldsmith,yes,Self employed,Yes,DP-001,Nimal Perera,HH-1001,Colombo-11 lane 4,Hereditary angioedema,285000,scar-left-cheek
11,1,1,111,111001,2,1,1,2,1992,9,32,Wife/Husband,Female,Sinhala,Buddhist,Currently Married (Registered),No,University,Private tutor,yes,Private sector employee,Yes,DP-002,Sanduni Perera,HH-1001,Colombo-11 lane 4,Postpartum thyroiditis,210000,violin-teacher
11,1,1,111,111002,3,1,1,1,1978,1,46,Head of household,Female,Sri Lankan Tamil,Hindu,Widowed,No,Ordinary Level,Funeral florist,yes,Self employed,Yes,DP-003,Meena Rajan,HH-1002,Wellawatte beach road,Gaucher disease,175000,blue-scooter
11,1,1,111,111003,4,1,1,1,1968,8,56,Head of household,Male,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),No,Grade 8,Retired lighthouse keeper,no,Retired,Yes,DP-004,Farook Nazeer,HH-1003,Dehiwala canal side,Narcolepsy,98000,owl-tattoo
12,2,2,122,122010,5,1,1,1,1984,4,40,Head of household,Female,Sinhala,Christian,Never Married,No,University,Air traffic scheduler,yes,Government employee,Yes,DP-005,Anjali Fernando,HH-1004,Negombo lagoon pier,Multiple sclerosis,320000,red-hearing-aid
12,2,2,122,122011,6,1,1,1,1997,6,27,Other relative,Male,Sinhala,Buddhist,Never Married,Yes,University,Esports coach,yes,Private sector employee,Yes,DP-006,Kavindu Silva,HH-1005,Katunayake hostel block C,Cystic fibrosis carrier,145000,drone-racer
13,1,3,133,133020,7,1,1,1,1959,2,65,Head of household,Female,Burgher,Christian,Divorced,No,Advanced Level,Antique clock repairer,yes,Self employed,Yes,DP-007,Helena Croos,HH-1006,Kandy clocktower lane,Parkinson tremor,132000,clockmaker
13,1,3,133,133021,8,1,1,1,1975,11,49,Head of household,Male,Sinhala,Buddhist,Currently Married (Registered),No,University,Tea estate drone mapper,yes,Private sector employee,Yes,DP-008,Ruwan Jayasinghe,HH-1007,Hanthane ridge hut,Silicosis,260000,thermal-camera
14,3,4,144,144030,9,1,1,1,2001,12,23,Son/Daughter,Female,Sri Lankan Tamil,Hindu,Never Married,Yes,University,Temple mural restorer,yes,Self employed,Yes,DP-009,Divya Suresh,HH-1008,Jaffna fort east wall,Vitiligo segmental,118000,muralist
14,3,4,144,144031,10,1,1,1,1981,5,43,Head of household,Male,Sri Lankan Tamil,Catholic,Currently Married (Registered),No,Ordinary Level,Palmyrah climber,yes,Self employed,Yes,DP-010,Anton Arul,HH-1009,Point Pedro palm yard,Epilepsy focal,102000,missing-ring-finger
15,2,5,155,155040,11,1,1,1,1990,7,34,Head of household,Female,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),No,University,Halal food auditor,yes,Private sector employee,Yes,DP-011,Fathima Rilwan,HH-1010,Kattankudy market row,Sickle cell trait,188000,green-ledger
15,2,5,155,155041,12,1,1,1,1972,10,52,Head of household,Male,Sri Lankan Moors/Muslim,Islam,Separated,No,Grade 10,Boat engine tuner,yes,Self employed,Yes,DP-012,Rizwan Hakeem,HH-1011,Batticaloa lagoon shed,Occupational hearing loss,126000,engine-whisperer
16,1,6,166,166050,13,1,1,1,1986,2,38,Head of household,Female,Sinhala,Buddhist,Never Married,No,University,Forensic accountant,yes,Government employee,Yes,DP-013,Iresha Bandara,HH-1012,Kurunegala courthouse annex,Lupus nephritis,340000,case-77-ledger
16,1,6,166,166051,14,1,1,1,1965,1,59,Head of household,Male,Sinhala,Buddhist,Currently Married (Registered),No,Ordinary Level,Elephant corridor guard,yes,Government employee,Yes,DP-014,Saman Ekanayake,HH-1013,Dambulla reserve gate,Chronic kidney disease,112000,elephant-scar
17,2,7,177,177060,15,1,1,1,1995,8,29,Head of household,Female,Sinhala,Christian,Never Married,No,University,Marine biologist,yes,Private sector employee,Yes,DP-015,Nethmi Costa,HH-1014,Galle reef station,Severe shellfish allergy,275000,reef-diver
17,2,7,177,177061,16,1,1,1,1980,4,44,Head of household,Male,Burgher,Christian,Currently Married (Registered),No,Advanced Level,Customs dog trainer,yes,Government employee,Yes,DP-016,Marcus de Silva,HH-1015,Galle port kennel,PTSD,232000,dog-trainer
18,3,8,188,188070,17,1,1,1,2000,9,24,Son/Daughter,Male,Sinhala,Buddhist,Never Married,Yes,University,Monk robe dyer,yes,Self employed,Yes,DP-017,Tharindu Wijesekara,HH-1016,Matara temple dye room,Color blindness,76000,saffron-hands
18,3,8,188,188071,18,1,1,1,1977,3,47,Head of household,Female,Sinhala,Buddhist,Widowed,No,Grade 9,Cinnamon peeler,yes,Self employed,Yes,DP-018,Kusum Herath,HH-1017,Matara cinnamon hill,Rheumatoid arthritis,91000,cinnamon-knife
19,1,9,199,199080,19,1,1,1,1988,11,36,Head of household,Male,Sri Lankan Tamil,Hindu,Currently Married (Registered),No,University,Solar inverter technician,yes,Private sector employee,Yes,DP-019,Pradeep Kumar,HH-1018,Vavuniya solar farm,Type 1 diabetes,215000,solar-van
19,1,9,199,199081,20,1,1,1,1962,6,62,Head of household,Female,Sri Lankan Tamil,Hindu,Currently Married (Registered),No,Ordinary Level,Seed bank keeper,yes,Government employee,Yes,DP-020,Latha Selvam,HH-1019,Vavuniya seed vault,Macular degeneration,121000,seed-vault-key
20,2,10,200,200090,21,1,1,1,1993,1,31,Head of household,Female,Sinhala,Buddhist,Never Married,No,University,Disaster siren operator,yes,Government employee,Yes,DP-021,Ama Gunasekara,HH-1020,Ratnapura siren tower,Asthma severe,205000,siren-operator
20,2,10,200,200091,22,1,1,1,1970,12,54,Head of household,Male,Sinhala,Buddhist,Currently Married (Registered),No,Grade 11,Gem heat treater,yes,Self employed,Yes,DP-022,Janaka Rathnayake,HH-1021,Ratnapura gem furnace,Mercury exposure,305000,ruby-burn
21,3,11,211,211100,23,1,1,1,1982,5,42,Head of household,Female,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),No,University,Border language mediator,yes,Government employee,Yes,DP-023,Nazeera Iqbal,HH-1022,Mannar ferry office,Graves disease,246000,ferry-badge
21,3,11,211,211101,24,1,1,1,1999,7,25,Son/Daughter,Male,Sri Lankan Moors/Muslim,Islam,Never Married,Yes,Advanced Level,Salt pan drone pilot,yes,Private sector employee,Yes,DP-024,Imran Sheriff,HH-1023,Mannar salt pan north,Albinism,134000,white-cap
22,1,12,222,222110,25,1,1,1,1955,10,69,Head of household,Female,Sinhala,Buddhist,Widowed,No,Grade 6,Traditional mask painter,yes,Self employed,Yes,DP-025,Mallika Abeywickrama,HH-1024,Ambalangoda mask street,Essential tremor,89000,mask-painter
